epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,36435.6,0.94925,0.61841,1.09714,0.88629,0.82829,0.87527,0.67386,0.91733,0.56002,1.01828,0.000743,0.000743,0.000743
88,36816.5,0.95166,0.61911,1.09907,0.88798,0.82885,0.87609,0.67462,0.91617,0.55834,1.01769,0.0006935,0.0006935,0.0006935
89,37197.4,0.93851,0.60551,1.0952,0.88904,0.83044,0.87771,0.67573,0.91466,0.5564,1.01688,0.000644,0.000644,0.000644
90,37578.4,0.93462,0.60308,1.09283,0.88647,0.83326,0.87857,0.6768,0.91254,0.55452,1.0161,0.0005945,0.0005945,0.0005945
91,37959.3,0.77354,0.4441,1.00391,0.88675,0.83386,0.87944,0.67769,0.91038,0.55262,1.01499,0.000545,0.000545,0.000545
92,38339,0.75579,0.43831,0.99466,0.88851,0.83417,0.88012,0.67871,0.90804,0.55033,1.01386,0.0004955,0.0004955,0.0004955
93,38718.8,0.74335,0.42707,0.98886,0.89073,0.83483,0.88143,0.68009,0.90527,0.54854,1.01245,0.000446,0.000446,0.000446
94,39098.7,0.73398,0.42723,0.98781,0.88945,0.83528,0.88192,0.6812,0.90316,0.54643,1.01145,0.0003965,0.0003965,0.0003965
95,39478.6,0.72111,0.41855,0.98031,0.88997,0.83655,0.88289,0.68293,0.90103,0.54395,1.01044,0.000347,0.000347,0.000347
96,39858.5,0.71033,0.413,0.97402,0.89031,0.83759,0.88408,0.68458,0.89867,0.54165,1.00946,0.0002975,0.0002975,0.0002975
97,40238.1,0.70455,0.40785,0.96984,0.88812,0.83858,0.8841,0.685,0.89673,0.53987,1.00868,0.000248,0.000248,0.000248
98,40617.5,0.70147,0.406,0.96647,0.88811,0.84029,0.88537,0.68679,0.89472,0.5377,1.00771,0.0001985,0.0001985,0.0001985
99,40997.3,0.68915,0.39983,0.96141,0.88851,0.83952,0.88557,0.68752,0.89256,0.53574,1.00675,0.000149,0.000149,0.000149
100,41376.6,0.68199,0.39702,0.95865,0.88845,0.84054,0.88616,0.68866,0.89088,0.53371,1.00591,9.95e-05,9.95e-05,9.95e-05
